iShares U.S. Technology ETF
Fund Holdings as of,"Jul 23, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"127,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","Information Technology","Equity","10,261,701.00","0.05","10,261,701.00","96,354.00","106.50","United States","NASDAQ","USD","1.00","USD","-"
"APPF","APPFOLIO INC CLASS A","Information Technology","Equity","10,254,009.50","0.05","10,254,009.50","37,975.00","270.02","United States","NASDAQ","USD","1.00","USD","-"
"DBX","DROPBOX INC CLASS A","Information Technology","Equity","10,160,787.00","0.05","10,160,787.00","429,450.00","23.66","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","9,684,422.99","0.05","9,684,422.99","9,684,423.00","1.00","United States","-","USD","1.00","USD","-"
"S","SENTINELONE INC CLASS A","Information Technology","Equity","9,605,827.14","0.05","9,605,827.14","393,198.00","24.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GFS","GLOBALFOUNDRIES INC","Information Technology","Equity","9,132,135.49","0.05","9,132,135.49","169,837.00","53.77","United States","NASDAQ","USD","1.00","USD","-"
"AZPN","ASPEN TECHNOLOGY INC","Information Technology","Equity","8,785,157.88","0.05","8,785,157.88","46,443.00","189.16","United States","NASDAQ","USD","1.00","USD","-"
"U","UNITY SOFTWARE INC","Information Technology","Equity","8,691,956.28","0.05","8,691,956.28","513,709.00","16.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CCCS","CCC INTELLIGENT SOLUTIONS HOLDINGS","Information Technology","Equity","8,592,217.92","0.04","8,592,217.92","769,912.00","11.16","United States","NASDAQ","USD","1.00","USD","-"
"PATH","UIPATH INC CLASS A","Information Technology","Equity","8,272,209.21","0.04","8,272,209.21","671,991.00","12.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVT","AVNET INC","Information Technology","Equity","8,234,110.80","0.04","8,234,110.80","155,068.00","53.10","United States","NASDAQ","USD","1.00","USD","-"
"AMKR","AMKOR TECHNOLOGY INC","Information Technology","Equity","8,000,469.54","0.04","8,000,469.54","194,706.00","41.09","United States","NASDAQ","USD","1.00","USD","-"
"DLB","DOLBY LABORATORIES INC CLASS A","Information Technology","Equity","7,933,593.96","0.04","7,933,593.96","100,962.00","78.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IAC","IAC INC","Communication","Equity","6,740,820.90","0.04","6,740,820.90","128,470.00","52.47","United States","NASDAQ","USD","1.00","USD","-"
"ZI","ZOOMINFO TECHNOLOGIES INC","Communication","Equity","6,278,988.85","0.03","6,278,988.85","538,969.00","11.65","United States","NASDAQ","USD","1.00","USD","-"
"DXC","DXC TECHNOLOGY","Information Technology","Equity","6,262,872.72","0.03","6,262,872.72","316,947.00","19.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PSN","PARSONS CORP","Industrials","Equity","6,262,649.64","0.03","6,262,649.64","79,014.00","79.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIVN","FIVE9 INC","Information Technology","Equity","5,642,936.40","0.03","5,642,936.40","126,580.00","44.58","United States","NASDAQ","USD","1.00","USD","-"
"HCP","HASHICORP INC CLASS A","Information Technology","Equity","5,580,709.78","0.03","5,580,709.78","166,142.00","33.59","United States","NASDAQ","USD","1.00","USD","-"
"DNB","DUN BRADST HLDG INC","Industrials","Equity","5,526,484.16","0.03","5,526,484.16","522,352.00","10.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TDC","TERADATA CORP","Information Technology","Equity","5,413,480.00","0.03","5,413,480.00","167,600.00","32.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNXC","CONCENTRIX CORP","Industrials","Equity","5,407,022.08","0.03","5,407,022.08","82,024.00","65.92","United States","NASDAQ","USD","1.00","USD","-"
"DV","DOUBLEVERIFY HOLDINGS INC","Information Technology","Equity","5,098,285.08","0.03","5,098,285.08","250,284.00","20.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEGA","PEGASYSTEMS INC","Information Technology","Equity","4,838,695.80","0.03","4,838,695.80","76,988.00","62.85","United States","NASDAQ","USD","1.00","USD","-"
"NCNO","NCINO INC","Information Technology","Equity","4,746,348.90","0.02","4,746,348.90","142,533.00","33.30","United States","NASDAQ","USD","1.00","USD","-"
"CLVT","CLARIVATE PLC","Industrials","Equity","4,716,416.55","0.02","4,716,416.55","704,995.00","6.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WOLF","WOLFSPEED INC","Information Technology","Equity","4,503,579.60","0.02","4,503,579.60","214,968.00","20.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RNG","RINGCENTRAL INC CLASS A","Information Technology","Equity","4,455,885.62","0.02","4,455,885.62","137,062.00","32.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IPGP","IPG PHOTONICS CORP","Information Technology","Equity","4,368,660.18","0.02","4,368,660.18","49,053.00","89.06","United States","NASDAQ","USD","1.00","USD","-"
"ALGM","ALLEGRO MICROSYSTEMS INC","Information Technology","Equity","3,593,282.94","0.02","3,593,282.94","129,909.00","27.66","United States","NASDAQ","USD","1.00","USD","-"
"DJT","TRUMP MEDIA TECHNOLOGY GROUP CORP","Communication","Equity","3,276,684.15","0.02","3,276,684.15","99,565.00","32.91","United States","NASDAQ","USD","1.00","USD","-"
"INFA","INFORMATICA INC CLASS A","Information Technology","Equity","2,747,448.45","0.01","2,747,448.45","110,295.00","24.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALAB","ASTERA LABS INC","Information Technology","Equity","2,001,915.72","0.01","2,001,915.72","38,052.00","52.61","United States","NASDAQ","USD","1.00","USD","-"
"PYCR","PAYCOR HCM INC","Industrials","Equity","1,624,523.04","0.01","1,624,523.04","125,349.00","12.96","United States","NASDAQ","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","372,000.00","0.00","372,000.00","372,000.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"IXTU4","EMINI TECHNOLOGY SELECT SECTOR SEP","Cash and/or Derivatives","Futures","0.00","0.00","7,325,440.00","32.00","2,289.20","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-2,271,749.18","-0.01","-2,271,749.18","-2,271,749.00","100.00","United States","-","USD","1.00","USD","-"
 
